# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = calibration_model
# start_datetime = 2022-07-04 15:24:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = calibration.json
# init = calibration.init.json
# random
#   seed = 0
# output
#   file = fit-1.csv
#   diagnostic_file =  (Default)
#   refresh = 10
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_cons.1,theta_cons.2,theta_cons.3,theta_age.1,theta_age.2,theta_age.3,rho0,rho1,rho2,eta.1,eta.2,eta.3,eta.4,phi.1,phi.2,phi.3,psi.1,psi.2,psi.3,kappa,nu,rate_LS_progression_AB,rate_LS_progression_BC,rate_LS_progression_CD,Dabir_genotype.1,Dabir_genotype.2,Dabir_genotype.3
# Adaptation terminated
# Step size = 0.117832
# Diagonal elements of inverse mass matrix:
# 0.00402287, 0.00178843, 0.0606368, 1.03347, 1.5358, 2.54036, 0.130208, 32.3695, 0.0671733, 1.79788, 0.965815, 2.46967, 1.44191, 0.212909, 0.443374, 1.05055, 0.126523, 0.061787, 0.613176, 1.81703, 1.09289, 0.0742128, 0.154101, 0.170865, 0.0356365, 0.120044
4965.09,0.830743,0.117832,5,31,0,-4954.34,-5.30858,-5.11282,-4.51571,0.0469105,0.0495625,0.00254582,0.193909,38.1909,35.7313,0.496903,0.24142,0.0700764,0.0538163,0.281242,0.316079,0.0811176,0.172562,0.101394,0.182516,0.0242506,0.012246,1.80965,1.03701,0.34851,0.66082,0.246645,0.0925346
4971.15,0.967125,0.117832,5,31,0,-4953.72,-5.01956,-4.92209,-4.35119,0.041796,0.0482576,0.00337011,0.145278,38.578,38.3697,0.46455,0.116366,0.223168,0.0126362,0.167004,0.248214,0.0152915,0.10553,0.0714456,0.0432694,0.00716742,0.0138728,1.11264,1.74991,0.305834,0.62808,0.313629,0.0582908
4964.89,0.95367,0.117832,5,31,0,-4954.79,-4.97644,-5.18093,-3.72543,0.0393558,0.0494014,0.00296228,0.166646,33.6935,35.7854,0.497167,0.040014,0.0853223,0.0567259,0.208276,0.339681,0.0121437,0.13979,0.111919,0.0288319,0.0228511,0.0102621,2.12792,1.52628,0.606807,0.705946,0.198507,0.0955471
4966.41,0.699672,0.117832,5,63,0,-4949.67,-5.337,-5.28338,-5.14947,0.0467533,0.0494122,0.00258408,0.118862,39.4988,27.7089,0.496491,0.340596,0.350333,0.00842849,0.142332,0.449975,0.0255764,0.102863,0.134755,0.0936535,0.0160131,0.0120751,1.57334,1.31064,0.64246,0.52646,0.373772,0.0997685
4966.83,0.995462,0.117832,5,31,0,-4954.68,-5.0628,-5.24994,-4.92285,0.0475693,0.0494699,0.00354473,0.148496,34.7192,34.3723,0.415258,0.157178,0.268424,0.060921,0.119309,0.36013,0.0292809,0.0857423,0.148327,0.105539,0.0120554,0.0018701,1.29855,2.38144,0.651433,0.611532,0.254277,0.134191
4963.28,0.988249,0.117832,5,31,0,-4954.7,-5.07359,-5.16122,-4.28524,0.0410656,0.0464745,0.00404424,0.127164,34.2174,26.5124,0.499048,0.286767,0.0641146,0.0289571,0.157507,0.456677,0.0414373,0.122869,0.110032,0.102217,0.01951,0.0187885,1.62918,1.33144,0.215119,0.576751,0.373838,0.0494108
