# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = calibration_model
# start_datetime = 2022-07-04 15:24:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = calibration.json
# init = calibration.init.json
# random
#   seed = 0
# output
#   file = fit-2.csv
#   diagnostic_file =  (Default)
#   refresh = 10
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_cons.1,theta_cons.2,theta_cons.3,theta_age.1,theta_age.2,theta_age.3,rho0,rho1,rho2,eta.1,eta.2,eta.3,eta.4,phi.1,phi.2,phi.3,psi.1,psi.2,psi.3,kappa,nu,rate_LS_progression_AB,rate_LS_progression_BC,rate_LS_progression_CD,Dabir_genotype.1,Dabir_genotype.2,Dabir_genotype.3
# Adaptation terminated
# Step size = 0.113347
# Diagonal elements of inverse mass matrix:
# 0.00310997, 0.00131789, 0.162253, 0.703535, 1.35832, 2.3302, 0.103163, 30.3088, 0.0580062, 1.76044, 0.74844, 2.2819, 2.37082, 0.179285, 0.728487, 1.33644, 0.12358, 0.0625029, 0.848459, 1.62877, 1.00466, 0.0639119, 0.154982, 0.151152, 0.0385206, 0.13702
4964.01,0.994905,0.113347,5,31,0,-4952.61,-4.56629,-4.88033,-4.74782,0.0364884,0.0457637,0.00348577,0.196198,36.5397,43.2712,0.47916,0.0649025,0.467909,0.0275761,0.169158,0.310252,0.0114187,0.0930599,0.0955501,0.0879669,0.00231289,0.0175774,1.91744,1.24911,0.533838,0.636691,0.252175,0.111135
4968.01,0.928087,0.113347,5,63,0,-4950.97,-4.62229,-4.72677,-4.87163,0.0351129,0.0491411,0.00171475,0.200178,33.7645,39.1813,0.481188,0.0282611,0.39619,0.0254786,0.163888,0.350217,0.0158983,0.107173,0.0867496,0.0994654,0.00249474,0.00604638,1.53113,1.27804,0.492445,0.666327,0.233471,0.100202
4966.27,0.740322,0.113347,5,63,0,-4952.42,-4.92097,-5.22847,-5.64206,0.0389487,0.0487787,0.0372159,0.179371,36.735,33.5168,0.490147,0.324282,0.02065,0.07136,0.224155,0.328507,0.0587574,0.172333,0.133594,0.0558579,0.0456805,0.00906422,1.30135,2.88561,0.279289,0.579042,0.340764,0.0801937
4967.05,0.955189,0.113347,5,31,0,-4954.14,-4.83149,-5.12496,-5.78294,0.0371631,0.0491827,0.0380173,0.156359,35.9855,33.0491,0.493176,0.327229,0.0183143,0.116777,0.225871,0.346991,0.0616865,0.134171,0.140005,0.0566606,0.0229576,0.00955518,1.3269,2.15352,0.275831,0.562864,0.375427,0.0617096
4969.39,0.966409,0.113347,5,31,0,-4956.84,-4.81194,-4.9727,-4.63089,0.0397381,0.046923,0.00167621,0.19311,35.4084,33.0733,0.497032,0.111165,0.34427,0.023336,0.180451,0.388317,0.0217472,0.125171,0.0961908,0.06872,0.0161158,0.0037131,1.55193,2.265,0.446075,0.576309,0.268058,0.155632
4961.93,0.995995,0.113347,5,31,0,-4954.08,-4.70346,-4.84747,-3.83603,0.0384484,0.0487634,0.00216811,0.185749,36.0678,45.9181,0.498842,0.175539,0.354027,0.0320267,0.0990789,0.43167,0.00857493,0.0799021,0.119037,0.0197919,0.0295456,0.00923096,1.40579,2.33524,0.248261,0.528318,0.285089,0.186593
4964.8,0.915238,0.113347,5,31,0,-4948.93,-4.48549,-4.94827,-4.54063,0.0418021,0.0496291,0.0110851,0.188551,29.1166,30.9146,0.49429,0.22991,0.196673,0.0510415,0.105467,0.273914,0.0221432,0.0534624,0.0879262,0.0551667,0.0209192,0.00881562,1.43012,1.64246,0.408424,0.660339,0.286558,0.0531032
