# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = calibration_model
# start_datetime = 2022-07-04 15:06:10 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = calibration.json
# init = calibration.init.json
# random
#   seed = 3504925963 (Default)
# output
#   file = fit-vb.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,log_p__,log_g__,theta_cons.1,theta_cons.2,theta_cons.3,theta_age.1,theta_age.2,theta_age.3,rho0,rho1,rho2,eta.1,eta.2,eta.3,eta.4,phi.1,phi.2,phi.3,psi.1,psi.2,psi.3,kappa,nu,rate_LS_progression_AB,rate_LS_progression_BC,rate_LS_progression_CD,Dabir_genotype.1,Dabir_genotype.2,Dabir_genotype.3
# Stepsize adaptation complete.
# eta = 1
0,0,0,-4.97494,-5.0807,-4.61093,0.0418482,0.0492626,0.00299939,0.167546,36.248,36.397,0.48389,0.201758,0.223364,0.0298008,0.172295,0.351815,0.0340264,0.117245,0.106787,0.0778714,0.0109859,0.00592244,1.41646,2.02978,0.374477,0.573133,0.329918,0.0969491
0,-485.414,-16.4751,-4.96051,-5.15545,-4.82182,0.041272,0.0491913,0.00760976,0.172876,30.5287,31.3844,0.472151,0.179693,0.364896,0.00962946,0.167284,0.354559,0.0296384,0.129827,0.113779,0.100204,0.00690751,0.017099,1.33758,1.62378,0.336314,0.576123,0.225777,0.1981
0,-482.55,-12.89,-5.07238,-5.08068,-5.00306,0.0414168,0.0487834,0.00583544,0.163441,30.974,40.7685,0.497338,0.214789,0.0945937,0.0334346,0.193772,0.369672,0.018803,0.119414,0.109602,0.108591,0.00813903,0.00564667,0.823842,2.20783,0.217878,0.619851,0.307371,0.0727778
0,-476.359,-9.30325,-5.00801,-5.00206,-4.27762,0.0404655,0.0489452,0.00189327,0.172331,37.4148,28.1883,0.488707,0.204848,0.305025,0.0172901,0.165567,0.362414,0.0145494,0.127941,0.0963102,0.111079,0.00977461,0.00669449,1.44097,2.4839,0.808285,0.548855,0.352283,0.0988617
0,-478.061,-8.54211,-4.9629,-5.0344,-4.83361,0.0418914,0.0497992,0.00177851,0.176234,32.9696,35.666,0.397879,0.222044,0.242544,0.0243223,0.173875,0.331173,0.0266065,0.113755,0.115266,0.0849865,0.00337615,0.015578,1.75641,2.71203,0.398255,0.550506,0.367197,0.0822971
0,-472.301,-7.25738,-5.04239,-5.15874,-4.33154,0.042184,0.0493919,0.00099039,0.15956,34.9307,40.6947,0.465831,0.289028,0.204451,0.0210839,0.182092,0.345004,0.037796,0.120988,0.0984257,0.0865312,0.0143746,0.00300145,1.78033,1.90991,0.330586,0.543046,0.38047,0.0764844
0,-482.956,-12.5169,-5.02033,-5.07035,-4.73582,0.0427848,0.048857,0.000645128,0.169656,38.9693,37.5891,0.482172,0.118426,0.39106,0.0135254,0.152355,0.35542,0.0918828,0.130408,0.120316,0.0355501,0.0139022,0.0129743,1.63708,1.76382,0.533483,0.546288,0.343848,0.109864
0,-485.162,-18.7237,-5.03482,-5.10436,-4.82403,0.0425204,0.0494766,0.00291056,0.166548,36.6785,44.6157,0.445281,0.181143,0.449339,0.00536147,0.176311,0.423621,0.0460556,0.0980785,0.093025,0.116272,0.0130319,0.0078242,2.45163,2.81274,0.387816,0.544468,0.347073,0.108459
0,-484.012,-13.3516,-4.96633,-5.06434,-4.27352,0.042724,0.0477497,0.001381,0.16421,31.9199,34.6176,0.442128,0.131872,0.251861,0.139889,0.150476,0.327636,0.0880782,0.127803,0.101037,0.0821584,0.00150222,0.00610511,1.46838,1.96245,0.738766,0.519988,0.35708,0.122931
0,-481.055,-14.6517,-5.00281,-5.06009,-4.52179,0.0424008,0.0489239,0.00190787,0.174581,36.7862,34.0141,0.492591,0.226727,0.355503,0.0253825,0.203398,0.395385,0.0457139,0.114833,0.126249,0.0280673,0.0223679,0.00636197,1.4395,1.47283,0.140493,0.615657,0.30691,0.0774328
0,-493.313,-18.1343,-5.03375,-5.13881,-4.93501,0.0408579,0.0492062,0.00386701,0.157776,30.184,59.6683,0.464755,0.166039,0.0750895,0.0560795,0.186061,0.380764,0.0418959,0.113106,0.0999718,0.0239672,0.08698,0.0046295,1.04006,1.5025,0.266893,0.588943,0.293698,0.117359
0,-491.33,-15.6669,-4.82851,-5.15706,-5.0011,0.041746,0.0495633,0.00445113,0.180727,31.9883,33.6459,0.491104,0.133596,0.127229,0.0102246,0.164648,0.267723,0.0198881,0.116491,0.11594,0.0668845,0.00499488,0.00146295,1.2008,2.85659,0.530153,0.536625,0.376971,0.0864037
0,-474.88,-7.21578,-4.93808,-5.14675,-4.87877,0.0418511,0.0490812,0.00420965,0.170046,32.2138,32.2825,0.475316,0.205023,0.206891,0.0797739,0.166342,0.380726,0.0242134,0.0941854,0.0974938,0.0649451,0.0127834,0.0060439,1.17985,2.17095,0.374328,0.547559,0.349062,0.103379
0,-486.073,-8.85943,-5.01489,-5.15134,-5.12,0.040162,0.0492628,0.00118763,0.178848,30.1233,38.1496,0.483528,0.229418,0.234475,0.0209578,0.164207,0.344577,0.0305292,0.128711,0.117195,0.0902628,0.00581642,0.0101375,1.15544,2.19856,0.408352,0.566677,0.363253,0.0700698
