# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = ppc_model
# start_datetime = 2022-07-15 20:21:33 UTC
# method = generate_quantities
#   generate_quantities
#     fitted_params = fit-2.csv
# id = 1 (Default)
# data
#   file = calibration.json
# init = 2 (Default)
# random
#   seed = 179281814 (Default)
# output
#   file = ppc-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
p_MSI_MLH1,p_MSI_MSH2,p_MSI_MSH6,pred_log_risk_ratio_under60,pred_log_risk_ratio_lowrisk,ppc_Dabir_MSI_MLH1,ppc_Dabir_MSI_MSH2,ppc_Dabir_MSI_MSH6,ppc_risk_ratio_under60,ppc_risk_ratio_lowrisk,ppc_PLSD_crc_MLH1_male.1,ppc_PLSD_crc_MLH1_male.2,ppc_PLSD_crc_MLH1_male.3,ppc_PLSD_crc_MLH1_male.4,ppc_PLSD_crc_MLH1_male.5,ppc_PLSD_crc_MLH1_male.6,ppc_PLSD_crc_MLH1_male.7,ppc_PLSD_crc_MLH1_male.8,ppc_PLSD_crc_MLH1_male.9,ppc_PLSD_crc_MLH1_male.10,ppc_PLSD_crc_MLH1_male.11,ppc_PLSD_crc_MLH1_female.1,ppc_PLSD_crc_MLH1_female.2,ppc_PLSD_crc_MLH1_female.3,ppc_PLSD_crc_MLH1_female.4,ppc_PLSD_crc_MLH1_female.5,ppc_PLSD_crc_MLH1_female.6,ppc_PLSD_crc_MLH1_female.7,ppc_PLSD_crc_MLH1_female.8,ppc_PLSD_crc_MLH1_female.9,ppc_PLSD_crc_MLH1_female.10,ppc_PLSD_crc_MLH1_female.11,ppc_PLSD_crc_MSH2_male.1,ppc_PLSD_crc_MSH2_male.2,ppc_PLSD_crc_MSH2_male.3,ppc_PLSD_crc_MSH2_male.4,ppc_PLSD_crc_MSH2_male.5,ppc_PLSD_crc_MSH2_male.6,ppc_PLSD_crc_MSH2_male.7,ppc_PLSD_crc_MSH2_male.8,ppc_PLSD_crc_MSH2_male.9,ppc_PLSD_crc_MSH2_male.10,ppc_PLSD_crc_MSH2_male.11,ppc_PLSD_crc_MSH2_female.1,ppc_PLSD_crc_MSH2_female.2,ppc_PLSD_crc_MSH2_female.3,ppc_PLSD_crc_MSH2_female.4,ppc_PLSD_crc_MSH2_female.5,ppc_PLSD_crc_MSH2_female.6,ppc_PLSD_crc_MSH2_female.7,ppc_PLSD_crc_MSH2_female.8,ppc_PLSD_crc_MSH2_female.9,ppc_PLSD_crc_MSH2_female.10,ppc_PLSD_crc_MSH2_female.11,ppc_PLSD_crc_MSH6_male.1,ppc_PLSD_crc_MSH6_male.2,ppc_PLSD_crc_MSH6_male.3,ppc_PLSD_crc_MSH6_male.4,ppc_PLSD_crc_MSH6_male.5,ppc_PLSD_crc_MSH6_male.6,ppc_PLSD_crc_MSH6_male.7,ppc_PLSD_crc_MSH6_male.8,ppc_PLSD_crc_MSH6_male.9,ppc_PLSD_crc_MSH6_male.10,ppc_PLSD_crc_MSH6_male.11,ppc_PLSD_crc_MSH6_female.1,ppc_PLSD_crc_MSH6_female.2,ppc_PLSD_crc_MSH6_female.3,ppc_PLSD_crc_MSH6_female.4,ppc_PLSD_crc_MSH6_female.5,ppc_PLSD_crc_MSH6_female.6,ppc_PLSD_crc_MSH6_female.7,ppc_PLSD_crc_MSH6_female.8,ppc_PLSD_crc_MSH6_female.9,ppc_PLSD_crc_MSH6_female.10,ppc_PLSD_crc_MSH6_female.11,ppc_PLSD_crc_PMS2.1,ppc_PLSD_crc_PMS2.2,ppc_PLSD_crc_PMS2.3,ppc_PLSD_crc_PMS2.4,ppc_PLSD_crc_PMS2.5,ppc_PLSD_crc_PMS2.6,ppc_PLSD_crc_PMS2.7,ppc_PLSD_crc_PMS2.8,ppc_PLSD_crc_PMS2.9,ppc_PLSD_crc_PMS2.10,ppc_PLSD_crc_PMS2.11,ppc_Germany_index_findings.1,ppc_Germany_index_findings.2,ppc_Germany_index_findings.3,ppc_Netherlands_index_findings.1,ppc_Netherlands_index_findings.2,ppc_Netherlands_index_findings.3,ppc_Finland_index_findings.1,ppc_Finland_index_findings.2,ppc_Finland_index_findings.3,ppc_Germany_fu_adenomas,ppc_Netherlands_fu_adenomas,ppc_Finland_fu_adenomas,ppc_Germany_fu_crc.1,ppc_Germany_fu_crc.2,ppc_Germany_fu_crc.3,ppc_Germany_fu_crc.4,ppc_Netherlands_fu_crc.1,ppc_Netherlands_fu_crc.2,ppc_Netherlands_fu_crc.3,ppc_Netherlands_fu_crc.4,ppc_Finland_fu_crc.1,ppc_Finland_fu_crc.2,ppc_Finland_fu_crc.3,ppc_Finland_fu_crc.4
0.849966,0.837929,0.388688,0.539701,-1.28308,240,171,14,1.79142,0.297895,6,9,12,6,9,10,8,4,1,1,4,9,3,8,14,14,10,8,7,3,3,9,5,4,5,5,4,1,4,3,3,2,1,4,7,5,6,12,4,11,7,14,7,1,1,0,2,1,5,4,5,1,2,1,0,2,0,1,1,0,2,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,310,43,12,510,68,35,564,81,31,147,512,360,88,3,2,2,36,29,3,1,32,33,11,2
0.828151,0.876684,0.351366,0.543601,-1.29833,235,196,16,1.69996,0.316063,2,8,11,8,8,10,6,4,6,2,1,11,6,9,10,8,6,12,5,4,4,3,3,3,3,2,6,1,7,4,3,3,0,1,6,6,6,10,16,16,6,10,5,4,0,2,2,1,2,0,4,3,4,1,0,2,1,0,2,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,68,17,502,90,21,565,80,31,186,577,365,91,4,0,0,45,21,3,0,35,27,15,1
0.825273,0.850183,0.401116,0.521944,-1.25265,247,192,10,1.80407,0.250891,11,5,11,5,10,7,9,9,6,2,2,9,5,11,13,18,7,17,10,5,6,3,2,3,2,5,8,8,10,3,2,3,3,7,1,5,3,14,12,17,9,9,10,8,1,0,3,3,2,0,7,2,2,0,0,0,1,1,1,0,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,306,43,16,525,68,20,565,78,33,161,505,344,94,0,1,0,45,21,1,2,37,27,13,1
0.840214,0.869859,0.396601,0.542892,-1.20796,247,189,16,1.62338,0.279008,3,7,8,11,9,6,4,3,5,1,5,9,5,12,14,19,10,16,13,9,5,2,2,2,11,2,7,5,4,8,4,3,3,8,2,6,7,17,8,15,9,11,5,6,0,0,2,2,3,1,1,7,4,0,1,1,1,1,1,3,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,305,49,11,506,83,24,552,94,30,202,598,401,86,5,2,2,40,25,3,1,38,29,9,2
0.837884,0.852073,0.372845,0.528362,-1.31245,236,196,11,1.59644,0.324271,9,9,15,11,11,5,17,3,4,2,1,6,6,12,16,21,10,16,12,6,1,7,3,3,2,2,13,2,1,5,1,2,1,4,0,12,6,6,7,9,5,13,1,3,0,0,4,1,2,0,1,2,0,0,0,0,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,293,57,15,511,85,17,562,81,33,172,519,427,87,5,3,0,38,27,3,1,40,24,14,0
0.815971,0.886411,0.407267,0.532029,-1.26341,238,201,7,1.61055,0.252802,9,2,10,6,15,7,5,5,2,1,2,6,5,15,16,25,8,14,9,7,3,6,4,3,4,1,21,6,11,0,4,1,3,5,3,5,4,15,12,16,5,6,3,6,2,0,1,1,2,0,3,2,2,2,0,0,1,0,0,2,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,290,55,20,501,85,27,567,82,27,194,542,376,92,2,0,1,45,22,1,1,43,22,12,1
0.866445,0.868733,0.343366,0.560634,-1.22462,244,194,12,1.80366,0.317077,4,6,9,13,10,3,6,3,6,1,0,9,5,11,7,15,7,11,12,11,2,4,3,3,6,7,8,6,7,3,4,2,4,0,3,13,9,12,5,13,5,13,7,3,2,1,4,2,1,0,2,2,2,1,0,2,0,2,2,3,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,311,40,14,489,98,26,546,106,24,154,485,365,87,6,2,0,38,27,3,1,44,17,13,4
0.823231,0.867032,0.457396,0.537244,-1.34806,238,192,15,1.8184,0.232759,13,7,9,9,9,5,9,4,4,0,1,7,5,8,5,16,11,18,3,9,4,4,3,5,8,7,11,5,13,3,3,1,3,2,2,6,4,10,4,15,5,10,7,4,1,1,4,1,1,2,5,5,3,2,0,0,0,0,0,0,0,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,295,60,10,513,92,8,557,82,37,164,535,325,91,1,1,2,36,28,3,2,38,21,18,1
0.844936,0.888037,0.460015,0.552347,-1.20099,240,191,16,1.60738,0.339882,9,8,8,6,18,6,5,6,3,2,1,12,5,12,15,9,19,19,4,7,4,5,2,3,7,8,12,5,9,1,2,2,0,7,2,7,5,10,8,16,4,6,4,6,1,1,2,2,2,3,8,1,5,1,0,1,0,3,1,3,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,302,45,18,513,83,17,573,79,24,214,569,408,88,5,1,1,36,29,3,1,33,25,19,1
0.808475,0.885791,0.315223,0.533577,-1.19584,227,192,11,1.72854,0.328022,8,4,13,9,14,5,5,5,10,6,2,6,7,15,8,18,15,15,11,13,7,5,6,6,4,6,8,6,8,2,6,1,0,7,3,10,5,17,8,8,11,14,9,3,0,1,1,4,2,0,2,5,2,3,2,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,297,58,10,506,80,27,570,78,28,190,495,355,89,3,2,1,43,22,4,0,38,28,10,2
