# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = ppc_model
# start_datetime = 2022-07-04 15:11:51 UTC
# method = generate_quantities
#   generate_quantities
#     fitted_params = fit-vb.m.csv
# id = 1 (Default)
# data
#   file = calibration.json
# init = 2 (Default)
# random
#   seed = 3505267168 (Default)
# output
#   file = ppc-vb.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
p_MSI_MLH1,p_MSI_MSH2,p_MSI_MSH6,pred_log_risk_ratio_under60,pred_log_risk_ratio_lowrisk,ppc_Dabir_MSI_MLH1,ppc_Dabir_MSI_MSH2,ppc_Dabir_MSI_MSH6,ppc_risk_ratio_under60,ppc_risk_ratio_lowrisk,ppc_PLSD_crc_MLH1_male.1,ppc_PLSD_crc_MLH1_male.2,ppc_PLSD_crc_MLH1_male.3,ppc_PLSD_crc_MLH1_male.4,ppc_PLSD_crc_MLH1_male.5,ppc_PLSD_crc_MLH1_male.6,ppc_PLSD_crc_MLH1_male.7,ppc_PLSD_crc_MLH1_male.8,ppc_PLSD_crc_MLH1_male.9,ppc_PLSD_crc_MLH1_male.10,ppc_PLSD_crc_MLH1_male.11,ppc_PLSD_crc_MLH1_female.1,ppc_PLSD_crc_MLH1_female.2,ppc_PLSD_crc_MLH1_female.3,ppc_PLSD_crc_MLH1_female.4,ppc_PLSD_crc_MLH1_female.5,ppc_PLSD_crc_MLH1_female.6,ppc_PLSD_crc_MLH1_female.7,ppc_PLSD_crc_MLH1_female.8,ppc_PLSD_crc_MLH1_female.9,ppc_PLSD_crc_MLH1_female.10,ppc_PLSD_crc_MLH1_female.11,ppc_PLSD_crc_MSH2_male.1,ppc_PLSD_crc_MSH2_male.2,ppc_PLSD_crc_MSH2_male.3,ppc_PLSD_crc_MSH2_male.4,ppc_PLSD_crc_MSH2_male.5,ppc_PLSD_crc_MSH2_male.6,ppc_PLSD_crc_MSH2_male.7,ppc_PLSD_crc_MSH2_male.8,ppc_PLSD_crc_MSH2_male.9,ppc_PLSD_crc_MSH2_male.10,ppc_PLSD_crc_MSH2_male.11,ppc_PLSD_crc_MSH2_female.1,ppc_PLSD_crc_MSH2_female.2,ppc_PLSD_crc_MSH2_female.3,ppc_PLSD_crc_MSH2_female.4,ppc_PLSD_crc_MSH2_female.5,ppc_PLSD_crc_MSH2_female.6,ppc_PLSD_crc_MSH2_female.7,ppc_PLSD_crc_MSH2_female.8,ppc_PLSD_crc_MSH2_female.9,ppc_PLSD_crc_MSH2_female.10,ppc_PLSD_crc_MSH2_female.11,ppc_PLSD_crc_MSH6_male.1,ppc_PLSD_crc_MSH6_male.2,ppc_PLSD_crc_MSH6_male.3,ppc_PLSD_crc_MSH6_male.4,ppc_PLSD_crc_MSH6_male.5,ppc_PLSD_crc_MSH6_male.6,ppc_PLSD_crc_MSH6_male.7,ppc_PLSD_crc_MSH6_male.8,ppc_PLSD_crc_MSH6_male.9,ppc_PLSD_crc_MSH6_male.10,ppc_PLSD_crc_MSH6_male.11,ppc_PLSD_crc_MSH6_female.1,ppc_PLSD_crc_MSH6_female.2,ppc_PLSD_crc_MSH6_female.3,ppc_PLSD_crc_MSH6_female.4,ppc_PLSD_crc_MSH6_female.5,ppc_PLSD_crc_MSH6_female.6,ppc_PLSD_crc_MSH6_female.7,ppc_PLSD_crc_MSH6_female.8,ppc_PLSD_crc_MSH6_female.9,ppc_PLSD_crc_MSH6_female.10,ppc_PLSD_crc_MSH6_female.11,ppc_PLSD_crc_PMS2.1,ppc_PLSD_crc_PMS2.2,ppc_PLSD_crc_PMS2.3,ppc_PLSD_crc_PMS2.4,ppc_PLSD_crc_PMS2.5,ppc_PLSD_crc_PMS2.6,ppc_PLSD_crc_PMS2.7,ppc_PLSD_crc_PMS2.8,ppc_PLSD_crc_PMS2.9,ppc_PLSD_crc_PMS2.10,ppc_PLSD_crc_PMS2.11,ppc_Germany_index_findings.1,ppc_Germany_index_findings.2,ppc_Germany_index_findings.3,ppc_Netherlands_index_findings.1,ppc_Netherlands_index_findings.2,ppc_Netherlands_index_findings.3,ppc_Finland_index_findings.1,ppc_Finland_index_findings.2,ppc_Finland_index_findings.3,ppc_Germany_fu_adenomas,ppc_Netherlands_fu_adenomas,ppc_Finland_fu_adenomas,ppc_Germany_fu_crc.1,ppc_Germany_fu_crc.2,ppc_Germany_fu_crc.3,ppc_Germany_fu_crc.4,ppc_Netherlands_fu_crc.1,ppc_Netherlands_fu_crc.2,ppc_Netherlands_fu_crc.3,ppc_Netherlands_fu_crc.4,ppc_Finland_fu_crc.1,ppc_Finland_fu_crc.2,ppc_Finland_fu_crc.3,ppc_Finland_fu_crc.4
0.832977,0.864097,0.364061,0.534079,-1.28491,233,194,8,1.73398,0.227955,7,7,14,11,20,5,9,6,11,2,3,10,6,9,6,13,12,14,12,9,2,8,1,3,4,5,10,3,4,6,5,2,1,4,1,8,6,16,4,13,7,12,6,6,1,1,2,3,3,1,3,4,2,3,3,0,1,4,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,305,50,10,526,64,23,555,87,34,179,598,386,87,6,0,2,52,16,1,0,39,29,10,0
0.817185,0.845767,0.39976,0.496322,-1.23726,233,191,11,1.82433,0.267583,10,3,6,10,16,5,8,5,8,1,0,9,7,13,13,17,21,11,11,8,7,7,3,2,4,5,10,6,8,0,3,4,3,6,6,3,4,10,6,13,7,7,3,6,0,1,1,1,2,2,3,5,2,2,2,0,0,0,1,1,1,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,308,40,17,526,66,21,576,68,32,178,465,345,90,2,1,2,45,19,2,3,25,36,16,1
0.825707,0.864228,0.171872,0.527019,-1.25096,241,193,3,1.68059,0.264956,5,5,4,9,10,11,3,3,6,2,2,5,6,12,9,9,10,10,6,5,4,6,2,2,9,6,7,9,7,8,3,4,2,3,1,6,6,8,7,12,6,14,7,4,2,0,0,1,2,1,2,0,0,2,1,0,0,2,2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,297,55,13,509,74,30,578,79,19,182,543,370,89,4,2,0,51,12,4,2,55,19,2,2
0.813753,0.87339,0.348012,0.536127,-1.26692,242,191,11,1.82677,0.299266,7,8,9,9,7,4,7,2,4,1,0,3,4,16,13,16,6,21,14,12,6,4,3,2,10,6,6,3,7,8,3,2,1,2,3,6,2,7,5,18,9,11,4,4,0,1,0,2,4,1,2,3,1,2,0,1,1,3,1,1,0,3,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,295,59,11,506,81,26,555,90,31,174,523,383,89,2,2,2,43,23,1,2,42,24,11,1
0.817295,0.867067,0.305959,0.533068,-1.36603,242,193,15,1.4961,0.283735,4,7,14,7,11,8,9,4,4,2,2,5,5,11,9,22,10,14,7,12,3,3,2,3,7,7,9,1,7,4,8,0,2,4,4,9,12,18,5,11,9,10,8,4,1,0,3,4,3,3,3,3,2,0,1,1,1,1,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,302,48,15,508,82,23,575,67,34,198,515,409,90,3,0,2,41,25,3,0,37,30,9,2
0.82822,0.869335,0.398236,0.5355,-1.23494,233,191,12,1.67116,0.249085,3,8,10,11,18,3,11,4,4,1,2,7,8,7,23,5,14,21,8,9,6,6,4,2,7,4,7,3,8,2,3,1,1,1,2,4,4,10,8,15,11,8,7,3,1,0,2,2,4,2,1,0,6,1,2,1,0,5,1,0,1,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,305,45,15,524,78,11,575,73,28,183,579,460,91,2,0,2,46,23,0,0,44,25,9,0
0.820157,0.849255,0.543529,0.525236,-1.3383,234,192,12,1.67897,0.262551,3,6,13,13,15,7,8,1,7,3,2,6,5,15,9,27,12,15,6,10,2,3,3,4,7,8,10,6,12,2,3,2,3,7,1,4,8,8,6,15,15,12,3,4,0,1,3,3,3,1,3,5,4,2,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,53,10,508,81,24,564,73,39,176,543,380,84,8,1,2,43,23,3,0,35,33,9,1
0.830587,0.86991,0.463302,0.536386,-1.2955,235,195,15,1.79678,0.246907,3,4,5,7,17,6,9,3,2,3,2,9,6,11,8,6,9,16,9,9,5,4,1,4,3,3,5,2,6,1,1,1,4,3,1,4,6,8,6,17,9,9,5,5,0,1,1,1,0,1,1,3,2,3,2,0,1,1,0,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,308,50,7,505,91,17,572,84,20,176,569,412,83,8,2,2,36,30,1,2,40,19,15,4
0.818885,0.843934,0.538583,0.52694,-1.44722,233,190,20,1.70442,0.267196,4,7,15,6,10,6,10,4,5,2,0,12,11,16,11,12,10,19,8,7,5,7,2,2,4,1,6,4,10,4,1,2,2,2,2,4,4,10,6,12,12,14,4,5,0,1,2,2,4,0,4,1,5,1,1,2,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,294,59,12,521,76,16,557,75,44,165,521,395,89,5,0,1,42,23,2,2,33,31,8,6
0.843249,0.868424,0.502535,0.541301,-1.19972,239,187,11,1.9992,0.322208,4,3,12,7,15,3,4,6,1,1,0,9,8,11,5,20,8,15,8,11,1,6,1,3,8,4,5,10,7,6,1,3,4,5,4,8,4,14,13,14,8,9,5,4,0,0,1,1,2,1,2,1,7,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,290,62,13,515,77,21,563,91,22,184,609,380,90,4,1,0,45,22,2,0,33,33,12,0
0.824315,0.858268,0.289884,0.521765,-1.43997,247,197,10,1.62478,0.241345,5,5,7,6,11,3,7,3,2,2,2,6,7,8,8,12,7,13,10,8,3,1,2,2,7,4,11,5,4,1,2,4,4,2,4,4,6,11,5,16,5,12,3,3,0,0,4,0,5,3,2,2,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,305,52,8,513,86,14,569,82,25,183,559,384,91,3,1,0,47,20,2,0,44,24,8,2
0.843949,0.825255,0.206724,0.526853,-1.43371,251,178,5,1.75384,0.232019,6,7,10,6,16,6,15,3,7,4,2,5,5,8,16,22,17,14,6,15,4,7,3,4,11,5,8,7,4,4,2,1,3,5,1,5,7,10,6,22,10,15,3,5,2,1,0,1,5,1,2,2,7,1,2,2,0,0,0,3,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,303,49,13,519,68,26,556,86,34,157,460,377,88,2,3,2,38,28,3,0,46,19,11,2
0.836623,0.858512,0.292682,0.531863,-1.32441,224,181,13,1.46436,0.245659,5,4,13,3,9,5,7,3,2,2,2,9,9,7,7,14,14,10,10,2,1,5,1,3,5,8,7,4,7,3,2,3,0,5,4,6,3,14,12,10,9,15,3,3,1,1,1,1,3,0,2,2,6,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,314,40,11,513,83,17,567,83,26,178,531,410,85,7,3,0,48,17,3,1,41,29,8,0
0.803134,0.852275,0.279673,0.514162,-1.26256,229,192,12,1.64988,0.295286,10,9,8,10,9,8,12,7,2,4,0,11,5,11,11,15,9,12,7,11,2,2,0,1,4,4,12,5,8,4,4,1,1,3,4,11,12,12,10,17,14,13,3,3,0,0,1,1,1,0,7,5,5,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,309,40,16,518,75,20,577,62,37,143,523,333,89,3,2,1,40,28,1,0,35,30,11,2
