# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = sporadic_survival_model
# start_datetime = 2022-07-13 15:18:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = sporadic-survival.data.json
# init = 2 (Default)
# random
#   seed = 4283284196 (Default)
# output
#   file = sporadic-survival-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda.1,lambda.2,lambda.3,lambda.4,delta,theta,model_surv_1y.1,model_surv_1y.2,model_surv_1y.3,model_surv_1y.4,model_surv_5y.1,model_surv_5y.2,model_surv_5y.3,model_surv_5y.4
# Adaptation terminated
# Step size = 0.230728
# Diagonal elements of inverse mass matrix:
# 0.00397548, 0.00581114, 0.00480184, 0.0394736, 0.0277306, 0.00500012
-23.233,0.933457,0.230728,3,15,0,28.8467,0.0167071,0.0844691,0.337339,3.08091,2.57076,1.50252,0.989449,0.949582,0.832641,0.460613,0.929716,0.736178,0.449678,0.147642
-22.2733,0.964744,0.230728,3,7,0,23.9199,0.0166169,0.0859244,0.324119,3.1205,2.49215,1.55125,0.98965,0.949507,0.840273,0.468581,0.930348,0.735055,0.463371,0.155735
-23.0559,0.82123,0.230728,3,15,0,26.0068,0.0199248,0.0812995,0.318699,3.0144,2.82576,1.69748,0.986958,0.949682,0.836664,0.467596,0.917631,0.747069,0.477918,0.166135
-25.1051,0.996113,0.230728,4,15,0,27.1995,0.0192114,0.0708924,0.335639,3.23013,2.4334,1.54418,0.988188,0.958257,0.837307,0.467357,0.920694,0.768504,0.455992,0.155827
-25.8052,0.997124,0.230728,3,7,0,26.2509,0.0193895,0.0698988,0.336801,3.18464,2.45716,1.53135,0.988027,0.958621,0.836089,0.466351,0.91993,0.770398,0.453813,0.153783
-21.2034,0.966207,0.230728,3,15,0,27.9531,0.0185468,0.089762,0.325727,3.61357,2.57586,1.62902,0.988304,0.946781,0.83854,0.452608,0.923067,0.729036,0.469008,0.159202
-25.0363,0.955872,0.230728,3,15,0,28.0593,0.0183821,0.0983806,0.29621,2.73438,2.54,1.44651,0.988465,0.942133,0.849029,0.474101,0.923252,0.706072,0.471936,0.145997
-24.8739,0.932728,0.230728,4,15,0,28.4726,0.0190794,0.0775349,0.359134,3.45144,2.43977,1.69634,0.988265,0.954693,0.830417,0.472989,0.921618,0.757209,0.45692,0.172965
-23.2863,1,0.230728,3,7,0,26.7717,0.0187446,0.0793803,0.355282,3.55691,2.42657,1.66421,0.988493,0.953764,0.831742,0.467486,0.922795,0.752496,0.45612,0.168924
-25.6084,0.923001,0.230728,4,15,0,27.6038,0.0193346,0.0761646,0.354923,4.03355,2.59024,1.74721,0.987795,0.954335,0.828755,0.451166,0.920462,0.760548,0.462764,0.171223
-24.8,0.998015,0.230728,4,15,0,27.7029,0.0169935,0.0950824,0.28672,2.24191,3.31461,1.3852,0.988127,0.937832,0.837874,0.462808,0.927081,0.706466,0.46826,0.141777
-24.4027,0.987231,0.230728,4,15,0,27.0293,0.0171797,0.06645,0.282906,2.07248,3.75031,1.44118,0.987496,0.95374,0.834417,0.468258,0.925996,0.771603,0.474798,0.154344
-23.6466,0.981645,0.230728,4,31,0,28.0132,0.0165768,0.0707761,0.263413,1.8139,4.72455,1.30947,0.987101,0.947547,0.832833,0.459472,0.92727,0.755489,0.475159,0.147653
-22.0268,0.995305,0.230728,4,23,0,25.4327,0.017323,0.0832235,0.28005,2.04718,3.45548,1.33893,0.987721,0.94421,0.838316,0.469914,0.925489,0.729838,0.468278,0.143118
-22.9229,0.926443,0.230728,4,15,0,24.4519,0.0164907,0.0777825,0.300742,2.16451,3.81012,1.49866,0.987934,0.946211,0.826293,0.464103,0.928791,0.745825,0.466994,0.157485
-22.4135,0.964073,0.230728,4,31,0,25.5952,0.0178224,0.0886,0.290487,2.84856,2.82472,1.52612,0.988301,0.945275,0.846233,0.459444,0.925005,0.726793,0.481469,0.147838
-23.5053,0.957452,0.230728,2,7,0,25.5649,0.017856,0.091428,0.323422,2.36382,3.08029,1.51863,0.987874,0.941787,0.827621,0.475906,0.924424,0.71954,0.456735,0.156212
-22.2538,0.63943,0.230728,2,3,0,27.3501,0.0179452,0.0918296,0.314045,2.44873,3.08805,1.50381,0.987802,0.941473,0.831187,0.468331,0.924029,0.718194,0.461406,0.151425
-21.9892,0.991741,0.230728,3,15,0,26.6529,0.0172525,0.0912906,0.315862,2.50777,3.08307,1.53315,0.988275,0.941873,0.830897,0.467456,0.926778,0.720288,0.463058,0.15334
-25.7111,0.929815,0.230728,4,15,0,27.5208,0.0194318,0.0845969,0.378365,3.77832,2.29997,1.61547,0.988368,0.952048,0.826584,0.465351,0.92047,0.741048,0.440081,0.166739
-23.7414,1,0.230728,3,7,0,26.913,0.0200646,0.0842562,0.359318,3.81697,2.33964,1.64019,0.987901,0.951884,0.832414,0.463659,0.918113,0.742161,0.452371,0.168095
-21.325,0.98883,0.230728,4,15,0,26.6579,0.0165167,0.0846836,0.299781,2.4533,3.15562,1.52722,0.988669,0.945312,0.836372,0.467405,0.929509,0.733566,0.47306,0.153635
