# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = sporadic_survival_model
# start_datetime = 2022-07-11 18:20:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = sporadic-survival.data.json
# init = 2 (Default)
# random
#   seed = 4121395116 (Default)
# output
#   file = sporadic-survival-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda.1,lambda.2,lambda.3,lambda.4,delta,theta,model_surv_1y.1,model_surv_1y.2,model_surv_1y.3,model_surv_1y.4,model_surv_5y.1,model_surv_5y.2,model_surv_5y.3,model_surv_5y.4
# Adaptation terminated
# Step size = 0.104351
# Diagonal elements of inverse mass matrix:
# 0.0113023, 0.00918967, 0.0124964, 0.023643, 0.206178, 0.0281754
-28.733,0.957978,0.104351,4,15,0,30.6628,0.018112,0.103486,0.373393,0.795856,9.58114,0.485179,0.983973,0.913377,0.734004,0.543643,0.916848,0.635752,0.270292,0.112327
-30.8138,0.990219,0.104351,5,31,0,31.3221,0.0156757,0.0911156,0.397058,0.841723,12.2081,0.671041,0.98578,0.92186,0.722045,0.537449,0.92759,0.675863,0.287165,0.138057
-27.6757,0.896565,0.104351,4,15,0,33.681,0.015501,0.0997964,0.395702,0.827105,10.2765,0.577312,0.986161,0.915966,0.723158,0.538799,0.928323,0.649928,0.272203,0.123879
-27.2278,0.994981,0.104351,4,15,0,29.0663,0.0158896,0.096646,0.384215,0.814923,9.85426,0.586121,0.985884,0.918829,0.730704,0.545134,0.926713,0.658507,0.28139,0.127922
-26.375,0.997843,0.104351,5,31,0,27.8447,0.016821,0.100118,0.387192,0.817328,10.8842,0.575634,0.984907,0.91523,0.726389,0.540133,0.922511,0.648758,0.277048,0.125177
-28.1643,0.755003,0.104351,3,15,0,33.5028,0.0167189,0.097954,0.383441,0.781056,10.7012,0.571118,0.985023,0.91706,0.728668,0.552868,0.922962,0.653998,0.278768,0.131395
