# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = calibration_model
# start_datetime = 2022-07-04 15:24:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = calibration.json
# init = calibration.init.json
# random
#   seed = 0
# output
#   file = fit-3.csv
#   diagnostic_file =  (Default)
#   refresh = 10
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_cons.1,theta_cons.2,theta_cons.3,theta_age.1,theta_age.2,theta_age.3,rho0,rho1,rho2,eta.1,eta.2,eta.3,eta.4,phi.1,phi.2,phi.3,psi.1,psi.2,psi.3,kappa,nu,rate_LS_progression_AB,rate_LS_progression_BC,rate_LS_progression_CD,Dabir_genotype.1,Dabir_genotype.2,Dabir_genotype.3
# Adaptation terminated
# Step size = 0.139703
# Diagonal elements of inverse mass matrix:
# 0.00329976, 0.00132022, 0.0418041, 1.14916, 1.58764, 3.06252, 0.0993189, 25.4289, 0.0546752, 1.63119, 0.920968, 2.34853, 2.14466, 0.206424, 0.455079, 0.865831, 0.138298, 0.0616028, 0.661864, 2.10743, 0.851204, 0.0645157, 0.142128, 0.115308, 0.0330773, 0.11371
4962.85,0.938919,0.139703,5,31,0,-4953.68,-4.82436,-4.82494,-3.74566,0.0368242,0.0487745,0.00102943,0.202137,23.6438,44.3166,0.499253,0.254665,0.3384,0.0163469,0.221104,0.411341,0.0126958,0.142307,0.0950495,0.0257021,0.0163658,0.00387424,1.59511,1.31946,0.448253,0.613783,0.290387,0.0958296
4960.5,0.670754,0.139703,5,31,0,-4948.21,-5.49169,-5.23585,-5.81689,0.0440564,0.0495456,0.0176145,0.0730103,46.8057,20.7225,0.437525,0.0798964,0.391052,0.00831402,0.103194,0.344055,0.0600618,0.0984279,0.100366,0.0734095,0.00859488,0.0442443,1.40802,2.52037,0.260571,0.63966,0.256177,0.104163
4969.28,0.986557,0.139703,5,31,0,-4949.07,-5.11683,-5.12447,-4.2019,0.0438739,0.0480812,0.00500689,0.124136,27.0552,31.3246,0.489412,0.248679,0.0400611,0.0137745,0.143562,0.447484,0.0230307,0.115438,0.140026,0.0412609,0.0100894,0.0119466,1.4367,1.37366,0.538475,0.587413,0.355235,0.0573519
4969.19,0.924297,0.139703,5,63,0,-4955.6,-4.87222,-4.87401,-4.7061,0.0381347,0.049235,0.00887603,0.207629,39.7247,33.3009,0.467658,0.240832,0.101886,0.0211862,0.220074,0.279462,0.0752563,0.15659,0.0705387,0.150346,0.0224788,0.00287327,1.50877,2.18178,0.24614,0.592533,0.281386,0.126081
4967.5,0.5617,0.139703,5,31,0,-4957.99,-4.92677,-4.95146,-4.09717,0.0402229,0.0482133,0.00250225,0.221336,33.2255,39.2999,0.486778,0.207079,0.151986,0.0894954,0.277359,0.388441,0.00859621,0.174601,0.109139,0.0519243,0.0114309,0.0123226,1.40344,1.84741,0.466087,0.631785,0.293968,0.0742472
4964.29,0.990856,0.139703,4,15,0,-4955.98,-4.80941,-4.77883,-4.06478,0.0351746,0.0463435,0.00279399,0.179323,26.4047,41.9118,0.481477,0.170623,0.265446,0.19274,0.289979,0.417835,0.0333487,0.167191,0.0915143,0.0557045,0.0275135,0.0103359,1.38359,1.73171,0.555868,0.663756,0.263768,0.0724763
4965.34,0.912354,0.139703,5,31,0,-4950.75,-5.25846,-4.77273,-4.0585,0.0455927,0.0466205,0.0126188,0.173221,28.2127,20.8487,0.461432,0.151816,0.111844,0.00256914,0.296854,0.34744,0.0390974,0.175676,0.101219,0.0521942,0.00455019,0.00684788,1.24682,2.88649,0.567334,0.635551,0.266299,0.0981508
4955.14,0.95384,0.139703,5,31,0,-4947.02,-5.27822,-4.62044,-3.96068,0.049194,0.0482313,0.00147818,0.183794,23.1123,17.8798,0.494029,0.172139,0.329484,0.000366554,0.226974,0.323644,0.0204326,0.146437,0.0844594,0.0434699,0.0307933,0.00831141,1.46677,2.24319,1.41928,0.609996,0.28778,0.102224
4967.69,0.955827,0.139703,5,31,0,-4942.35,-5.25146,-5.12647,-4.77293,0.0481546,0.0482083,0.01322,0.14909,34.8685,33.4068,0.447232,0.308507,0.400992,0.0129057,0.127454,0.347121,0.0209483,0.0923879,0.0903094,0.0525234,0.00456787,0.00784852,1.36972,1.4421,0.294936,0.604371,0.264421,0.131208
4962.1,0.914032,0.139703,5,31,0,-4948.28,-5.14692,-4.95167,-3.76063,0.0484392,0.0496088,0.00854523,0.209569,31.4931,42.7511,0.499794,0.298278,0.0451882,0.0138399,0.151403,0.368049,0.0271118,0.0941267,0.105712,0.0265456,0.0313453,0.00432179,1.51964,2.19922,0.755236,0.575325,0.374735,0.0499405
4960.83,0.856892,0.139703,5,31,0,-4942.11,-5.1634,-5.04951,-5.46019,0.0386692,0.0493294,0.0165902,0.145293,28.8402,51.8051,0.451061,0.0340117,0.43766,0.0122173,0.205889,0.351332,0.0399461,0.160471,0.110006,0.0608122,0.0423324,0.00857038,1.20684,1.81023,0.171768,0.651707,0.246648,0.101644
4964.22,0.826672,0.139703,5,31,0,-4946.96,-5.27279,-5.12693,-4.77141,0.0449371,0.0494088,0.011046,0.158004,32.5581,42.7235,0.495091,0.199308,0.0634915,0.00958074,0.258429,0.305625,0.124017,0.163717,0.0900637,0.173241,0.00618235,0.00484373,1.79237,1.39457,0.249357,0.641008,0.261966,0.0970266
4967.62,0.815584,0.139703,5,31,0,-4952.73,-4.74224,-5.03194,-4.30652,0.0363626,0.048128,0.00152006,0.199825,41.7178,30.3183,0.478983,0.173999,0.254982,0.115381,0.278714,0.393893,0.00861529,0.134038,0.117325,0.0691468,0.00767025,0.0170805,1.10403,1.75538,0.376324,0.589537,0.315812,0.0946514
4965.03,0.967632,0.139703,5,31,0,-4953.87,-5.06398,-5.05793,-4.75733,0.0425896,0.0493166,0.00172829,0.201117,40.4197,48.9131,0.411714,0.35958,0.385365,0.0107915,0.223673,0.377923,0.00439444,0.148091,0.104754,0.0470771,0.0302778,0.00349689,1.33498,1.67779,0.343783,0.534134,0.385968,0.0798978
4966.83,0.973883,0.139703,5,31,0,-4952.53,-4.69238,-5.00584,-4.04831,0.0383524,0.0472429,0.0022223,0.214029,38.9402,31.9551,0.491042,0.305509,0.145156,0.120013,0.203199,0.388282,0.0588381,0.112673,0.129989,0.0370631,0.00592778,0.00324961,1.63355,1.32661,0.215903,0.569108,0.294175,0.136717
4964.46,0.605304,0.139703,5,31,0,-4951.67,-5.17262,-4.92131,-4.78936,0.0413143,0.0475129,0.0023281,0.144954,36.0581,31.9607,0.44838,0.180676,0.0969667,0.0160127,0.284869,0.186151,0.089158,0.199694,0.0650734,0.0652916,0.00685436,0.00323498,1.90359,2.73208,0.599123,0.661151,0.262376,0.0764731
4962.34,0.970302,0.139703,5,31,0,-4947.99,-5.37989,-5.15103,-4.20552,0.0432108,0.0499414,0.00482222,0.132583,31.5947,28.2948,0.498548,0.0767362,0.362539,0.0969836,0.24781,0.467015,0.0149327,0.196507,0.140038,0.0311812,0.030935,0.0149089,1.27662,3.10789,0.641329,0.61939,0.276038,0.104572
4968.05,0.985021,0.139703,5,31,0,-4955.52,-4.73695,-5.10275,-4.32684,0.041556,0.0477334,0.00860074,0.181816,32.7706,38.9522,0.381106,0.290048,0.114784,0.0113384,0.142396,0.324448,0.051965,0.0848195,0.0900987,0.038368,0.0144844,0.0056088,1.99468,1.46231,0.228355,0.558133,0.371313,0.0705536
4966.75,0.992181,0.139703,5,31,0,-4959.29,-5.16463,-5.15533,-4.92899,0.0393369,0.0488357,0.00552179,0.125668,39.8918,25.903,0.49796,0.0974957,0.344422,0.0185532,0.142197,0.409617,0.0323398,0.132622,0.148683,0.0838741,0.0241134,0.0114167,1.04362,2.72505,0.592074,0.634397,0.265411,0.100192
4961.4,0.957231,0.139703,5,31,0,-4951.97,-5.40092,-5.25315,-5.31151,0.0463658,0.0483884,0.00239862,0.131066,42.3321,28.6163,0.499372,0.153328,0.245863,0.0248406,0.168849,0.469325,0.0608978,0.120287,0.127626,0.203773,0.0295125,0.0132269,1.10585,1.61828,0.24546,0.676241,0.21546,0.108299
4952.22,0.95547,0.139703,5,31,0,-4939.53,-5.47505,-5.17975,-5.01441,0.0495065,0.0497371,0.00331807,0.145366,34.7149,27.3889,0.499976,0.196767,0.211687,0.0363889,0.186418,0.459555,0.141977,0.118643,0.142579,0.367972,0.000887739,0.0120068,1.43882,1.06361,0.625057,0.612992,0.315086,0.0719216
