# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = sporadic_survival_model
# start_datetime = 2022-07-13 15:18:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = sporadic-survival.data.json
# init = 2 (Default)
# random
#   seed = 4283283520 (Default)
# output
#   file = sporadic-survival-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda.1,lambda.2,lambda.3,lambda.4,delta,theta,model_surv_1y.1,model_surv_1y.2,model_surv_1y.3,model_surv_1y.4,model_surv_5y.1,model_surv_5y.2,model_surv_5y.3,model_surv_5y.4
# Adaptation terminated
# Step size = 0.215074
# Diagonal elements of inverse mass matrix:
# 0.00372678, 0.00608157, 0.00506879, 0.042916, 0.0247722, 0.00616686
-22.9357,0.959592,0.215074,4,15,0,26.075,0.0168314,0.0750947,0.320867,3.11429,2.71372,1.63473,0.98913,0.953947,0.837386,0.463379,0.92927,0.759479,0.471587,0.159844
-23.8086,0.995566,0.215074,4,15,0,25.4523,0.0184625,0.0747275,0.326011,2.95414,3.10331,1.76054,0.987453,0.951882,0.829373,0.463191,0.922766,0.761681,0.477498,0.169655
-27.5415,0.969498,0.215074,3,7,0,28.9173,0.0196654,0.070054,0.308077,2.83737,3.39206,1.72695,0.986214,0.953234,0.831672,0.454493,0.917754,0.770453,0.484463,0.164967
-22.5301,0.999085,0.215074,3,7,0,28.5422,0.0191668,0.0776178,0.299449,2.72784,2.94567,1.60153,0.987228,0.950917,0.841049,0.467038,0.919919,0.751916,0.481251,0.157655
-24.2436,0.827331,0.215074,3,15,0,29.0387,0.0164191,0.0863398,0.291716,2.3636,2.83323,1.47345,0.989193,0.946435,0.844972,0.483129,0.930258,0.729837,0.475627,0.153062
-23.5057,0.907427,0.215074,4,31,0,28.8067,0.016247,0.0927543,0.313693,3.15393,2.55322,1.53248,0.989767,0.945206,0.842642,0.461487,0.931592,0.720104,0.467873,0.151199
-22.4564,0.971767,0.215074,3,7,0,25.7324,0.0174229,0.0931059,0.33101,2.73132,2.66691,1.5162,0.988829,0.943988,0.832985,0.473288,0.926809,0.718158,0.454239,0.151983
-22.5417,0.973591,0.215074,4,15,0,25.2934,0.0181589,0.0743819,0.314745,2.64982,3.26475,1.60052,0.987412,0.951038,0.82918,0.457663,0.923222,0.757917,0.469273,0.155839
-21.824,0.997835,0.215074,4,15,0,24.0966,0.016991,0.0811461,0.321587,3.35588,2.73862,1.65567,0.988988,0.950337,0.836821,0.454379,0.928666,0.746688,0.472885,0.159318
-22.399,0.993452,0.215074,4,15,0,24.9461,0.0197129,0.0811491,0.318164,2.92339,2.51004,1.49227,0.987711,0.951913,0.841462,0.470694,0.918469,0.743444,0.461398,0.149892
-20.7425,0.99968,0.215074,3,15,0,23.0545,0.0183627,0.0884298,0.31156,3.01382,2.61119,1.53596,0.988343,0.947087,0.842185,0.464364,0.923415,0.728639,0.469173,0.151492
-21.3109,0.94911,0.215074,4,15,0,22.161,0.0180229,0.0828454,0.324566,3.19601,2.80266,1.72707,0.988223,0.948997,0.835189,0.463795,0.924831,0.744754,0.477067,0.167842
-20.6748,0.825825,0.215074,4,15,0,23.5705,0.0176935,0.0907157,0.321134,2.96303,2.68415,1.55883,0.98863,0.945238,0.837013,0.464629,0.925855,0.724268,0.46452,0.153144
-22.33,0.849502,0.215074,3,7,0,23.6137,0.0175014,0.0879156,0.310689,3.11819,2.45986,1.56299,0.989172,0.948726,0.846409,0.471892,0.927089,0.731498,0.473515,0.158259
-20.8036,0.996723,0.215074,3,15,0,23.9798,0.0176909,0.0903688,0.31375,2.95474,2.83869,1.57858,0.988366,0.944237,0.836949,0.458522,0.925621,0.724772,0.470154,0.152263
-23.6968,0.973749,0.215074,4,15,0,24.6748,0.0157225,0.0911415,0.30763,2.89246,2.96807,1.59942,0.989458,0.94287,0.83722,0.457157,0.933034,0.723261,0.475375,0.153546
-23.0844,0.998857,0.215074,4,31,0,27.0443,0.0197401,0.0914993,0.3587,3.93082,2.34701,1.65109,0.988077,0.947998,0.832561,0.461103,0.919311,0.727818,0.453691,0.168751
-23.353,0.706876,0.215074,4,15,0,28.0407,0.018005,0.0840889,0.3301,2.89788,2.88803,1.50318,0.988076,0.947386,0.828387,0.451408,0.924131,0.735289,0.452045,0.142901
-21.4308,0.793957,0.215074,2,7,0,25.7276,0.0181449,0.0836379,0.325643,2.63311,2.71669,1.53976,0.988284,0.94894,0.834275,0.478207,0.924026,0.738213,0.459576,0.155985
-28.74,0.837285,0.215074,4,15,0,30.2976,0.0166138,0.0915643,0.320096,4.30546,2.95606,1.81881,0.988901,0.943058,0.835081,0.430941,0.930118,0.729333,0.486894,0.167541
-25.3116,0.94518,0.215074,4,31,0,34.5926,0.0187927,0.0715582,0.298348,2.02183,3.24182,1.36268,0.986993,0.952634,0.833532,0.482353,0.920126,0.758604,0.457655,0.148523
-27.7738,0.994478,0.215074,4,15,0,31.8503,0.019314,0.092383,0.266503,2.05647,3.3306,1.35879,0.986508,0.939317,0.846617,0.475455,0.91798,0.711046,0.481792,0.145947
-23.5472,0.96871,0.215074,3,7,0,29.0316,0.0182703,0.0840048,0.273092,1.90583,3.58628,1.31767,0.986895,0.943008,0.839562,0.477334,0.921562,0.726967,0.471258,0.146562
-23.0284,0.994405,0.215074,4,15,0,25.4411,0.0158743,0.0804535,0.284958,2.44826,3.29782,1.48662,0.988925,0.94699,0.840125,0.458159,0.931744,0.741051,0.479337,0.147551
-23.0726,0.972974,0.215074,4,31,0,26.7894,0.0162459,0.0833764,0.332832,2.96889,2.95747,1.62393,0.989129,0.947489,0.827534,0.456291,0.931075,0.740026,0.46165,0.155327
-24.0302,0.923029,0.215074,4,15,0,25.6643,0.0161839,0.077658,0.317951,3.09231,3.02915,1.61567,0.989069,0.950395,0.832068,0.446409,0.931188,0.751845,0.469776,0.151
-24.2823,0.99468,0.215074,4,15,0,26.6255,0.0195206,0.084512,0.299805,2.15529,3.35558,1.41885,0.986336,0.944078,0.831823,0.471681,0.917349,0.729842,0.461668,0.149454
-23.5462,0.966845,0.215074,4,15,0,26.4196,0.0187153,0.0872783,0.289443,2.6679,2.65136,1.40979,0.988036,0.947226,0.84896,0.467564,0.921629,0.726825,0.472531,0.139941
-21.8603,0.994751,0.215074,4,23,0,24.3063,0.0186171,0.087303,0.291613,2.44403,2.98295,1.45164,0.987515,0.944774,0.841973,0.468346,0.921481,0.726374,0.472723,0.145967
-23.5155,0.913881,0.215074,4,31,0,26.6198,0.0186464,0.0888737,0.361204,4.20189,2.2068,1.65985,0.989053,0.950801,0.835969,0.466159,0.92377,0.734382,0.454573,0.174825
-22.8014,0.997699,0.215074,4,31,0,26.4607,0.0194195,0.0839119,0.290798,2.53382,3.0842,1.48072,0.986822,0.946153,0.840893,0.460682,0.91835,0.734112,0.475511,0.145918
-22.3523,0.957886,0.215074,4,15,0,25.9093,0.0181271,0.074035,0.307047,2.46713,3.34117,1.58944,0.987329,0.95085,0.8311,0.465158,0.923209,0.758171,0.472997,0.15955
-22.3915,0.886734,0.215074,4,15,0,25.5296,0.0180701,0.0848617,0.294518,2.41498,3.07003,1.38236,0.987737,0.945536,0.838352,0.459587,0.923236,0.729056,0.46335,0.137066
-22.6059,0.993047,0.215074,4,15,0,25.2329,0.0173278,0.0753419,0.304241,2.86992,3.21848,1.63584,0.988043,0.950736,0.834787,0.450784,0.926559,0.756802,0.479672,0.154978
-22.1664,0.994274,0.215074,4,15,0,24.3098,0.0179701,0.0858446,0.300129,2.15308,3.36716,1.43875,0.98739,0.943226,0.831761,0.473354,0.923352,0.727528,0.46334,0.152088
-24.8795,0.970981,0.215074,3,15,0,26.4891,0.0157481,0.0856729,0.286674,2.60339,3.53473,1.65289,0.988755,0.942763,0.838007,0.45575,0.93234,0.733926,0.492018,0.161686
-21.8464,0.998609,0.215074,3,7,0,25.1645,0.0161587,0.084692,0.303847,2.48361,3.21153,1.53128,0.988839,0.944973,0.833763,0.463503,0.930839,0.733451,0.470339,0.152697
-21.4517,0.963209,0.215074,4,15,0,23.7973,0.0195074,0.084176,0.335142,3.14005,2.58451,1.58261,0.987687,0.94973,0.834161,0.464915,0.919334,0.739071,0.458764,0.156675
-21.221,0.973004,0.215074,4,15,0,23.11,0.0169855,0.0901171,0.324503,3.15203,2.64567,1.59204,0.989147,0.945939,0.836955,0.461647,0.928712,0.726753,0.465795,0.155987
-20.5708,0.998588,0.215074,3,15,0,21.8923,0.0182361,0.0803918,0.31674,2.82795,2.78335,1.5455,0.988107,0.950317,0.836471,0.464551,0.923564,0.74505,0.465426,0.151446
-21.7021,0.857104,0.215074,4,31,0,23.5112,0.0184626,0.0817753,0.315665,2.66901,3.13855,1.54453,0.987383,0.947184,0.830156,0.45627,0.922089,0.740414,0.463991,0.149597
-22.1103,0.846816,0.215074,4,31,0,26.2507,0.018734,0.0887306,0.312192,2.85599,2.70519,1.64845,0.987939,0.946304,0.841153,0.476914,0.922142,0.730956,0.478458,0.165386
-22.3976,0.994563,0.215074,4,15,0,23.7126,0.0181862,0.0787149,0.319011,3.35464,2.6651,1.55053,0.988353,0.952136,0.838179,0.448428,0.924006,0.749499,0.465239,0.148472
-22.2435,0.998384,0.215074,4,23,0,24.807,0.0170021,0.0844167,0.286237,2.23049,3.69621,1.44088,0.98768,0.942404,0.833536,0.456294,0.926748,0.729635,0.472433,0.147676
-21.6976,0.940702,0.215074,4,15,0,24.5381,0.0177382,0.074309,0.303505,2.44308,3.21053,1.49698,0.987765,0.951248,0.833493,0.462957,0.924623,0.75563,0.467322,0.149687
-21.6556,0.975199,0.215074,4,15,0,22.5873,0.0172399,0.088841,0.304067,2.50884,3.0637,1.46424,0.988306,0.943336,0.835337,0.461594,0.926678,0.723169,0.464528,0.144767
-24.1203,0.934101,0.215074,4,15,0,26.3201,0.0172202,0.0718601,0.285111,2.59224,3.34699,1.60473,0.987946,0.95219,0.840709,0.458408,0.926723,0.76355,0.489694,0.157387
-22.1458,0.99963,0.215074,4,15,0,25.4272,0.0187885,0.0799265,0.307056,2.34937,3.28005,1.48304,0.986951,0.947406,0.830663,0.465487,0.920454,0.742188,0.463186,0.150642
-24.0892,0.926221,0.215074,4,15,0,26.323,0.0173517,0.0768578,0.278955,2.35895,3.58086,1.61675,0.987574,0.947972,0.840435,0.467027,0.925969,0.751744,0.494333,0.165445
-24.5089,0.976843,0.215074,4,31,0,26.3198,0.0183288,0.0818665,0.323988,2.33295,2.75587,1.38062,0.988085,0.949462,0.832051,0.480626,0.922798,0.737166,0.444417,0.142966
-22.4891,0.986962,0.215074,3,7,0,25.8952,0.0189075,0.0852284,0.303531,3.261,2.47501,1.53803,0.988282,0.950021,0.848585,0.462768,0.9217,0.736234,0.475924,0.153434
-21.9603,0.835809,0.215074,4,15,0,24.9571,0.0170837,0.086095,0.317949,3.44315,2.57174,1.64996,0.989221,0.948859,0.841879,0.460523,0.928633,0.737119,0.475856,0.162906
-21.1993,1,0.215074,4,15,0,22.9143,0.0194071,0.0844108,0.325761,2.94871,2.74433,1.58261,0.987433,0.948347,0.83416,0.464209,0.919351,0.73768,0.46342,0.154889
-21.0711,0.995394,0.215074,4,15,0,21.8799,0.0170856,0.0861458,0.328598,2.84356,2.78528,1.5881,0.988846,0.94706,0.832233,0.467682,0.928052,0.733997,0.461895,0.156426
-22.77,0.962563,0.215074,4,15,0,24.7831,0.0192576,0.0781125,0.291041,2.3722,3.0783,1.48717,0.98694,0.949672,0.840962,0.472447,0.918993,0.74716,0.47597,0.151927
-23.1767,0.826023,0.215074,4,15,0,24.8599,0.0163277,0.0892112,0.315465,2.93658,3.07706,1.59405,0.988906,0.943232,0.831954,0.449411,0.930511,0.726509,0.469116,0.150321
-21.7848,0.99387,0.215074,4,15,0,25.8134,0.0171136,0.0842677,0.321899,3.10549,2.99558,1.74251,0.988509,0.946878,0.832697,0.4595,0.927974,0.741373,0.478959,0.166669
-22.7349,0.967381,0.215074,5,31,0,25.5355,0.017614,0.0802559,0.328735,2.6452,3.24737,1.66977,0.987812,0.947637,0.824625,0.46515,0.925514,0.746796,0.466963,0.164612
-21.397,0.979841,0.215074,4,15,0,25.5765,0.0178488,0.0902342,0.33341,3.3954,2.41014,1.53039,0.989061,0.947896,0.8386,0.461439,0.925815,0.72609,0.456231,0.153761
-22.6196,0.886323,0.215074,4,15,0,25.0578,0.0183382,0.0817457,0.303628,3.18474,3.03955,1.66857,0.987627,0.947975,0.838421,0.44708,0.923072,0.744383,0.483892,0.155828
-24.9416,0.689765,0.215074,3,7,0,28.6691,0.01779,0.0820089,0.288231,2.8803,2.72124,1.62172,0.988507,0.949933,0.850219,0.472411,0.925582,0.744006,0.492326,0.161326
-23.5164,0.975984,0.215074,3,15,0,27.2572,0.0191764,0.0822283,0.308511,3.08661,3.00251,1.57481,0.987124,0.947802,0.835927,0.443877,0.919701,0.740868,0.47232,0.14658
-22.4694,0.988094,0.215074,3,11,0,25.2478,0.0177338,0.0855264,0.329125,2.98664,2.97121,1.57639,0.988126,0.946076,0.828112,0.450174,0.925223,0.734045,0.459321,0.148951
-23.8168,0.986914,0.215074,3,15,0,24.7216,0.0172128,0.091764,0.315833,3.16325,2.62671,1.72156,0.989045,0.945377,0.842263,0.474268,0.928207,0.727647,0.483177,0.172237
-26.5266,0.803327,0.215074,3,11,0,29.6701,0.0190199,0.0850275,0.318635,2.84913,2.22193,1.47081,0.988788,0.952424,0.848752,0.492469,0.921801,0.736549,0.461787,0.157453
-26.1152,0.986645,0.215074,4,15,0,29.3622,0.0184589,0.0815736,0.335776,2.86941,2.51721,1.69806,0.98848,0.951853,0.836973,0.491427,0.923724,0.74817,0.469721,0.176099
-27.3583,1,0.215074,4,15,0,30.6222,0.0187386,0.072947,0.325945,3.11357,3.39505,1.72144,0.986847,0.951415,0.824153,0.440507,0.921201,0.763714,0.472743,0.158032
-25.3762,1,0.215074,4,15,0,30.8935,0.018968,0.0752149,0.31628,2.98808,3.4055,1.74452,0.986677,0.949988,0.828287,0.44815,0.920395,0.759182,0.480722,0.163299
-21.147,0.954212,0.215074,3,7,0,27.3152,0.0184886,0.0812811,0.309186,2.92476,3.01317,1.65735,0.987568,0.9484,0.836462,0.458984,0.922517,0.745171,0.479354,0.159257
-20.6935,0.872723,0.215074,3,15,0,22.4019,0.0181683,0.085606,0.323871,2.90665,2.80743,1.55165,0.988109,0.947154,0.833181,0.459897,0.923792,0.733917,0.461244,0.150352
-21.7762,0.987504,0.215074,4,15,0,23.2104,0.0188233,0.0966728,0.328473,3.40029,2.59005,1.62409,0.988103,0.942875,0.837092,0.45845,0.921989,0.715276,0.466739,0.15945
-22.2338,0.980458,0.215074,4,15,0,26.0642,0.0189625,0.0832584,0.344175,3.637,2.31213,1.53398,0.988611,0.952552,0.837357,0.46085,0.921925,0.741445,0.450972,0.1566
-23.3572,0.952867,0.215074,3,7,0,24.5468,0.0196776,0.0854992,0.333533,4.31466,2.22092,1.56789,0.988416,0.952295,0.844309,0.453818,0.919668,0.738427,0.461673,0.162458
-21.7022,0.96202,0.215074,4,15,0,24.395,0.0187318,0.0918152,0.335306,3.61769,2.40424,1.66643,0.98855,0.947291,0.839652,0.467318,0.922907,0.727262,0.468049,0.169711
-22.4886,0.991942,0.215074,4,15,0,24.4711,0.0190567,0.0952188,0.331659,3.88123,2.37526,1.56427,0.988413,0.945636,0.840592,0.452017,0.921485,0.717535,0.46092,0.15705
-20.6401,0.986464,0.215074,4,15,0,22.9392,0.0187644,0.0874503,0.332395,3.11734,2.68284,1.61388,0.987959,0.947151,0.833319,0.463026,0.921975,0.73263,0.462695,0.158054
-22.8047,0.751398,0.215074,4,15,0,27.8843,0.0168557,0.0806556,0.307032,2.32455,2.92176,1.49915,0.988774,0.949159,0.837125,0.48398,0.928479,0.742495,0.466647,0.156637
-22.5872,0.993284,0.215074,4,23,0,25.9473,0.0198761,0.0868291,0.331916,2.8183,2.74388,1.61138,0.987138,0.947019,0.832121,0.473324,0.917701,0.733498,0.462333,0.160626
-24.6649,0.946084,0.215074,4,23,0,27.7729,0.0193372,0.0874527,0.362243,3.10086,2.45262,1.54649,0.98807,0.949021,0.82696,0.471558,0.920183,0.731997,0.440454,0.156579
-26.4038,0.981228,0.215074,3,15,0,28.203,0.0200869,0.089303,0.291274,3.36112,2.75696,1.6231,0.98698,0.945537,0.848267,0.450021,0.916932,0.728746,0.490042,0.154814
-23.1104,0.982664,0.215074,4,15,0,30.21,0.0186909,0.0975357,0.346082,3.23998,2.38127,1.61745,0.988622,0.944434,0.835729,0.477346,0.92298,0.714831,0.457306,0.166739
