# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = sporadic_survival_model
# start_datetime = 2022-07-11 18:20:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = sporadic-survival.data.json
# init = 2 (Default)
# random
#   seed = 4121395905 (Default)
# output
#   file = sporadic-survival-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda.1,lambda.2,lambda.3,lambda.4,delta,theta,model_surv_1y.1,model_surv_1y.2,model_surv_1y.3,model_surv_1y.4,model_surv_5y.1,model_surv_5y.2,model_surv_5y.3,model_surv_5y.4
# Adaptation terminated
# Step size = 0.114315
# Diagonal elements of inverse mass matrix:
# 0.0102392, 0.00877644, 0.00982526, 0.0179169, 0.226457, 0.0271319
-26.5554,0.990705,0.114315,5,31,0,28.7001,0.0172449,0.113813,0.428583,0.964909,5.79869,0.669979,0.985893,0.912824,0.728941,0.532447,0.922187,0.626454,0.27338,0.121262
-26.6853,0.910083,0.114315,4,27,0,28.3942,0.0165252,0.114036,0.430163,0.915429,6.23703,0.659534,0.986281,0.911441,0.724604,0.541013,0.925025,0.624667,0.270028,0.12631
-27.0122,0.995861,0.114315,5,31,0,28.7124,0.0180705,0.119719,0.417773,0.944084,6.37797,0.683219,0.984955,0.907115,0.730536,0.53356,0.918513,0.613656,0.280923,0.126088
-26.8991,0.940204,0.114315,4,31,0,29.8663,0.0170948,0.106763,0.438539,0.936194,5.54131,0.65164,0.986143,0.918517,0.725699,0.541971,0.922887,0.641726,0.265141,0.122433
-26.0546,0.723663,0.114315,2,3,0,29.8366,0.0170631,0.105609,0.427665,0.916543,5.80168,0.649896,0.986036,0.918592,0.728676,0.544384,0.922894,0.643884,0.270337,0.12482
-26.1869,0.998139,0.114315,5,31,0,26.7984,0.0183085,0.106351,0.392665,0.842676,8.29481,0.574529,0.984102,0.912992,0.73047,0.541423,0.916571,0.635015,0.274862,0.121357
